"1","AN","1","13"
"2","N0","1","6"
"3","AN","1","60"
"4","ID","3","3"
"5","ID","3","5"
"7","AN","6","17"
"8","ID","1","1"
"9","ID","2","2"
"11","ID","1","1"
"12","AN","1","84"
"13","AN","1","17"
"14","N0","2","8"
"16","ID","1","1"
"19","AN","2","30"
"20","AN","3","9"
"21","N0","1","5"
"22","AN","1","30"
"23","ID","1","1"
"24","ID","4","4"
"26","ID","2","3"
"28","N0","1","9"
"31","AN","1","22"
"32","DT","8","8"
"33","ID","1","1"
"34","N1","1","4"
"35","ID","2","2"
"39","ID","1","1"
"40","ID","2","2"
"41","AN","1","10"
"42","AN","1","12"
"46","AN","4","4"
"47","ID","1","1"
"48","ID","1","1"
"50","AN","6","35"
"51","ID","1","1"
"52","ID","1","2"
"54","ID","2","2"
"55","AN","2","10"
"56","ID","2","2"
"58","N2","1","15"
"59","AN","2","5"
"60","R","1","9"
"61","AN","1","30"
"62","AN","4","10"
"63","AN","1","24"
"64","AN","2","30"
"65","R","1","8"
"66","ID","1","2"
"67","AN","2","80"
"70","AN","6","30"
"71","N0","1","3"
"72","ID","1","1"
"73","ID","1","1"
"74","N2","2","12"
"76","AN","1","22"
"77","N","1","3"
"78","ID","1","1"
"79","AN","1","50"
"80","N0","1","7"
"81","R","1","10"
"82","R","1","8"
"83","ID","1","2"
"86","N0","1","3"
"87","AN","1","48"
"88","ID","1","2"
"90","ID","1","1"
"91","ID","1","2"
"92","ID","2","2"
"93","AN","1","60"
"95","N0","1","4"
"96","N0","1","10"
"97","N0","1","6"
"98","ID","2","3"
"100","ID","3","3"
"102","ID","1","1"
"103","AN","3","5"
"104","ID","1","1"
"106","AN","1","25"
"107","ID","1","2"
"108","ID","1","2"
"109","DT","8","8"
"110","ID","1","2"
"111","TM","4","4"
"112","AN","2","14"
"113","AN","1","4"
"114","AN","2","24"
"115","ID","1","1"
"116","ID","3","15"
"117","N2","1","15"
"118","R","1","9"
"119","AN","1","6"
"120","AN","3","9"
"121","ID","1","3"
"122","ID","2","2"
"123","N0","1","6"
"124","AN","2","15"
"125","ID","1","2"
"127","AN","1","50"
"128","ID","2","3"
"129","AN","1","13"
"132","ID","1","1"
"133","ID","1","2"
"135","DT","8","8"
"136","AN","2","30"
"137","DT","8","8"
"138","AN","4","6"
"139","ID","2","2"
"140","ID","2","4"
"141","ID","7","10"
"142","AN","2","15"
"143","ID","3","3"
"145","AN","1","30"
"146","ID","2","2"
"147","ID","1","1"
"148","R","2","9"
"150","ID","3","3"
"151","AN","1","20"
"152","ID","2","3"
"153","AN","2","30"
"154","ID","6","9"
"156","ID","2","2"
"157","ID","1","2"
"159","AN","3","5"
"160","ID","1","1"
"163","ID","2","2"
"165","N0","1","3"
"166","AN","1","55"
"167","N0","3","8"
"168","ID","1","4"
"169","AN","1","16"
"170","N0","1","2"
"171","AN","1","7"
"172","AN","1","2"
"173","AN","1","4"
"174","AN","2","30"
"176","ID","1","2"
"177","ID","1","2"
"181","ID","2","2"
"182","AN","2","28"
"183","R","1","8"
"184","ID","1","1"
"186","N0","1","6"
"187","ID","1","2"
"188","ID","1","1"
"189","R","1","8"
"190","ID","1","1"
"191","N2","1","9"
"192","ID","1","1"
"193","N2","1","12"
"195","ID","1","1"
"196","ID","1","1"
"197","ID","2","2"
"199","ID","1","1"
"200","AN","1","6"
"201","ID","1","3"
"202","ID","2","2"
"203","N0","2","5"
"204","N0","1","4"
"205","N0","1","6"
"206","AN","1","4"
"207","AN","1","15"
"208","ID","1","1"
"209","AN","1","4"
"210","ID","1","1"
"211","ID","3","3"
"212","R","1","17"
"213","N0","1","3"
"214","ID","1","1"
"215","ID","1","30"
"216","ID","1","1"
"218","ID","14","40"
"219","AN","1","3"
"220","R","1","11"
"221","ID","2","2"
